Matrix_iterations,Hidden,Lambda,Start time,End time,Execution time,train_accuracy,validation_accuracy,test_accuracy
150,80,35,11:29:18,11:33:55,276.8,96.39%,95.69%,96.25%
150,80,40,11:33:55,11:38:17,262.49,96.19%,95.61%,96.00%
150,80,45,11:38:17,11:42:39,262.25,95.91%,95.26%,95.81%
150,80,50,11:42:39,11:47:13,273.93,95.60%,94.95%,95.67%
150,80,55,11:47:13,11:51:20,246.89,95.34%,94.81%,95.27%
150,80,60,11:51:20,11:55:15,234.69,95.19%,94.70%,95.22%
150,84,0,11:55:15,12:00:01,286.23,99.10%,97.07%,97.33%
150,84,5,12:00:01,12:04:21,260.18,98.72%,97.19%,97.30%
150,84,10,12:04:21,12:08:35,253.5,98.52%,97.01%,97.38%
150,84,15,12:08:35,12:12:36,241.04,98.02%,96.79%,97.16%
150,84,20,12:12:36,12:16:38,241.74,97.64%,96.60%,97.00%
150,84,25,12:16:38,12:20:35,237,97.17%,96.22%,96.70%
150,84,30,12:20:35,12:24:35,240.61,96.61%,95.75%,96.32%
150,84,35,12:24:35,12:28:36,240.48,96.54%,95.73%,96.28%
150,84,40,12:28:36,12:32:26,230.02,96.22%,95.63%,96.01%
150,84,45,12:32:26,12:36:22,236.08,96.05%,95.26%,95.85%
150,84,50,12:36:22,12:40:27,245.69,95.72%,95.15%,95.56%
150,84,55,12:40:27,12:44:26,238.48,95.46%,94.80%,95.43%
150,84,60,12:44:26,12:48:27,240.6,95.21%,94.54%,95.14%
150,88,0,12:48:27,12:53:31,304.75,99.63%,97.30%,97.42%
150,88,5,12:53:31,12:57:45,253.31,98.81%,97.20%,97.36%
150,88,10,12:57:45,13:01:59,253.87,98.57%,97.25%,97.44%
150,88,15,13:01:59,13:06:08,249.8,98.07%,96.82%,97.23%
150,88,20,13:06:08,13:10:52,283.27,97.59%,96.54%,96.90%
150,88,25,13:10:52,13:15:14,262.11,97.15%,96.33%,96.69%
150,88,30,13:15:14,13:19:28,254.47,96.85%,96.08%,96.43%
150,88,35,13:19:28,13:23:47,258.37,96.52%,95.74%,96.37%
150,88,40,13:23:47,13:27:59,252.02,96.19%,95.47%,95.99%
150,88,45,13:27:59,13:32:08,249.78,95.95%,95.25%,95.79%
150,88,50,13:32:08,13:36:26,257.4,95.66%,95.01%,95.60%
150,88,55,13:36:26,13:40:45,259.7,95.49%,94.98%,95.42%
150,88,60,13:40:45,13:45:01,255.14,95.23%,94.70%,95.25%
150,92,0,13:45:01,13:50:12,310.98,99.41%,97.21%,97.47%
150,92,5,13:50:12,13:54:41,269.3,98.82%,97.31%,97.47%
150,92,10,13:54:41,13:59:07,265.7,98.55%,97.27%,97.43%
150,92,15,13:59:07,14:03:22,254.98,98.09%,96.92%,97.20%
150,92,20,14:03:22,14:07:37,255.22,97.59%,96.51%,96.94%
150,92,25,14:07:37,14:11:49,252.04,97.26%,96.42%,96.79%
150,92,30,14:11:49,14:16:02,253.08,96.76%,96.13%,96.44%
150,92,35,14:16:02,14:20:11,248.83,96.60%,95.85%,96.34%
150,92,40,14:20:11,14:24:22,251.23,96.25%,95.43%,96.05%
